SampleID	ERR1328347	ERR1328355	ERR1328364	ERR1328369	ERR1328374	ERR1328375	ERR1328379	ERR1328381	ERR1328382	ERR1328385	ERR1328387	ERR1328388	ERR1328389	ERR1328390	ERR1328391	ERR1328392	ERR1328393	ERR1328396	ERR1328397	ERR1328398	ERR1328399	ERR1328400	ERR1328402	ERR1328404	ERR1328405	ERR1328407	ERR1328408	ERR1328409	ERR1328411	ERR1328414	ERR1328416	ERR1328418	ERR1328419	ERR1328420	ERR1328421	ERR1328422	ERR1328425	ERR1328427	ERR1328430	ERR1328431	ERR1328432	ERR1328433	ERR1328434	ERR1328435
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridium;s__metallolevans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Peptostreptococcus;s__anaerobius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__[Clostridium];s__difficile	3	1	1	10	0	0	0	0	0	1	1	0	0	0	0	0	0	0	24	8	0	0	17	0	3	2	1	0	3	0	0	0	1	0	17	0	0	0	0	1	1	0	0	0
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus;s__pullicaecorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Clostridium;s__hungatei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Clostridium;s__methylpentosum	6	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	3	0
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii	1203	8051	2752	260	6079	898	3041	2507	4612	8112	1980	2615	2555	2792	2089	1505	4480	4310	4193	4136	759	4640	6540	3413	3224	1194	12251	2097	5946	6022	2744	1191	3649	5000	1530	1933	4246	4223	469	2435	1248	2208	3203	1785
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__bromii	0	2	9	0	0	1	0	0	0	0	1	0	0	2	0	10	1	0	0	1	0	3	2	0	10	4	0	0	1	0	2	0	1	2	4	0	1	0	3	0	9	1	0	1
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__callidus	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__flavefaciens	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	7	3	0	0	1	0	3	0	1	0	11	0	0	1	2	0	1	8	4	0
